id,Code,Standard,R,Q,U,IS,X,L,desc,desc2,Form_Question,Status,new_item,img,imgurl
196,R01Q00,ตำแหน่งของพื้นที่ตรวจ,R01,Q00,SK,0,0,0,-,-,Q00 : ตำแหน่งของพื้นที่ตรวจ,on,no,,
1,R01Q01,ความกว้างของทางเท้า,R01,Q01,NW,3,4,1,ทางเท้าในระยะทางไม่เกิน 250 เมตรจากกึ่งกลางสถานีของทุกฝั่งถนน (ซ้ายและขวา) ต้องมีความกว้างไม่น้อยกว่า 150cm  และช่องทางสัญจรที่แคบที่สุดต้องไม่น้อยกว่า 90cm,ทางเท้าในพื้นที่สถานี ต้องมีความกว้างไม่น้อยกว่า 150 ซม.  และช่องทางสัญจรที่แคบที่สุดต้องไม่น้อยกว่า 90 ซม.,Q01 : ความกว้างของทางเท้า,on,no,https://drive.google.com/open?id=11bleEQazy-FIKK-UW33rL6do6BrCdov2&authuser=nati%40satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=11bleEQazy-FIKK-UW33rL6do6BrCdov2&a
2,R01Q02,พื้นผิวทางเท้า,R01,Q02,NW,1,1,1,พื้นผิวทางเท้ามีความเรียบเสมอกัน เป็นวัสดุที่ไม่ลื่น ไม่มีรอยต่อที่ทำให้เกิดการสะดุด,พื้นผิวทางเท้ามีความเรียบเสมอกัน เป็นวัสดุที่ไม่ลื่น ไม่มีรอยต่อที่ทำให้เกิดการสะดุด,Q02 : พื้นผิวทางเท้า,on,no,-,-
3,R01Q03,สิ่งกีดขวางระดับพื้น,R01,Q03,TA,3,1,1,ทางเท้าต้องไม่มีสิ่งกีดขวาง หรือจัดอยู่ในแนวเดียวกัน มีพื้นผิวต่างสัมผัสนิดเตือนหรือมีแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30cm,ทางเท้าต้องไม่มีสิ่งกีดขวาง หรือจัดอยู่ในแนวเดียวกัน มีพื้นผิวต่างสัมผัสนิดเตือนหรือมีแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.,Q03 : สิ่งกีดขวางระดับพื้น,on,no,https://drive.google.com/open?id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&authuser=nati%40satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&a
4,R01Q04,สิ่งกีดขวางระดับศีรษะ,R01,Q04,SF,3,2,1,หากมีสิ่งกีดขวางในแนวทางเดินระดับศีรษะ ต้องอยู่สูงจากพื้นไม่น้อยกว่า 2m หากมีสะพานลอย ให้ติดตั้งแนวรั้วกั้น,หากมีสิ่งกีดขวางในแนวทางเดินระดับศีรษะ ต้องอยู่สูงจากพื้นไม่น้อยกว่า 2 ม. หากมีสะพานลอย ให้ติดตั้งแนวรั้วกั้น,Q04 : สิ่งกีดขวางระดับศีรษะ,on,no,https://drive.google.com/open?id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&authuser=nati%40satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&a
5,R01Q05,พื้นต่างระดับ (ปาดมุม),R01,Q05,NW,2,1,1,กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2cm ให้ปาดมุม 45 องศา หากมากกว่า 2cm ให้ทำเป็นทางลาด ความลาดเอียง 1:12,กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,Q05 : พื้นต่างระดับ (ปาดมุม),on,no,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5
6,R01Q06,ความกว้างของทางลาด,R01,Q06,NW,2,4,1,ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90cm,ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,Q06 : ความกว้างของทางลาด,on,no,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT
7,R01Q07,ความต่างระดับบนทางเท้า,R01,Q07,NW,2,2,1,ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (4.7636 องศา),ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),Q07 : ความต่างระดับบนทางเท้า,on,no,-,-
8,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,R01,Q08,TA,1,1,2,มีพื้นผิวต่างสัมผัสชนิดเตือนครบทุกทางเลี้ยว ทางแยก ทางต่างระดับ หรือบริเวณที่มีสิ่งกีดขวาง และติดตั้งอย่างถูกต้อง,มีพื้นผิวต่างสัมผัสชนิดเตือนครบทุกทางเลี้ยว ทางแยก ทางต่างระดับ หรือบริเวณที่มีสิ่งกีดขวาง และติดตั้งอย่างถูกต้อง,Q08 : พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,on,no,https://drive.google.com/open?id=12KHKFsLfrop-i8zOuOMxRQg3vGG5aTJq&authuser=nati%40satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=12KHKFsLfrop-i8zOuOMxRQg3vGG5aTJq&a
9,R01Q09,ราวกันตกและขอบกันตก,R01,Q09,SF,1,2,2,กรณีทางเท้ามีจุดอันตราย ควรมีราวกันตกและขอบกันตก และติดตั้งถูกต้องตามมาตรฐาน,ในกรณีที่ทางเท้ามีต่างระดับที่ทำให้เกิดอันตรายได้ ต้องมีราวกันตกและขอบกันตกที่ติดตั้งถูกต้องตามมาตราฐาน,Q09 : ราวกันตกและขอบกันตก,on,no,https://drive.google.com/open?id=1pOpe0l1Lhtitc89saBw4c9ZTchDiuE2g&authuser=nati@satarana.com&usp=drive_fs,http://drive.google.com/uc?export=view&id=1pOpe0l1Lhtitc89saBw4c9ZTchDiuE2g
