id,R_ID,Q_ID,Q_code,Question,Q_status,IS,X,L,Q_detail,QA_id,Q_img,Q_Check,Q_Comment,desc,A_code,a_type,a_no,A2_code,g_choice,status,ans_id,g_ans,remark,skip,end,multiple choice,add,q,A_Check,A_Comment,edit gude,EDITED
1,R01,Q01,R01Q01,ความกว้างของทางเท้า,on,3,4,1, ทางเท้าในพื้นที่สถานี ต้องมีความกว้างไม่น้อยกว่า 150 ซม.  และช่องทางสัญจรที่แคบที่สุดต้องไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=11bleEQazy-FIKK-UW33rL6do6BrCdov2&authuser=nati%40satarana.com&usp=drive_fs,ผ่าน,"แก้คำเป็น ""ทางเท้าภายนอกอาคาร และอยู่ในพื้นที่ภายใต้การดูแลของสถานี มีความกว้างไม่น้อยกว่า 150 ซม. และช่องทางสัญจรที่แคบที่สุดต้องมีขนาดไม่น้อยกว่า 90 ซม.""",P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,ความกว้างของทางเท้า,ผ่าน,,,TRUE
2,R01,Q01,R01Q01,ความกว้างของทางเท้า,on,3,4,1, ทางเท้าในพื้นที่สถานี ต้องมีความกว้างไม่น้อยกว่า 150 ซม.  และช่องทางสัญจรที่แคบที่สุดต้องไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=11bleEQazy-FIKK-UW33rL6do6BrCdov2&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,M2: ความกว้างของทางเท้า >=90cm และ <150cm (จุดใดจุดหนึ่ง),M2,M,1,M1,ความกว้างของทางเท้ามีขนาดความกว้างระหว่าง 90 - 150 ซม.,on,,M1 : ความกว้างของทางเท้ามีขนาดความกว้างระหว่าง 90 - 150 ซม.,,0,0,0,0,Code,ผ่าน,"แก้คำเป็น ""ความกว้างของทางเท้ามีขนาดความกว้างระหว่าง 90 - 150 ซม.""",,TRUE
3,R01,Q01,R01Q01,ความกว้างของทางเท้า,on,3,4,1, ทางเท้าในพื้นที่สถานี ต้องมีความกว้างไม่น้อยกว่า 150 ซม.  และช่องทางสัญจรที่แคบที่สุดต้องไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=11bleEQazy-FIKK-UW33rL6do6BrCdov2&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,D3: ช่องทางสัญจร <90cm (จุดใดจุดหนึ่ง),D3,D,1,D1,ทางสัญจรมีความแคบกว่า 90 ซม.,on,,D1 : ทางสัญจรมีความแคบกว่า 90 ซม.,,0,0,0,0,Code,ผ่าน,"แก้คำเป็น """"",,TRUE
4,R01,Q02,R01Q02,พื้นผิวทางเท้า,on,1,1,1, พื้นผิวทางเท้ามีความเรียบเสมอกัน เป็นวัสดุที่ไม่ลื่น ไม่มีรอยต่อที่ทำให้เกิดการสะดุด,,-,ผ่าน,,P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,พื้นผิวทางเท้า,ผ่าน,,,TRUE
5,R01,Q02,R01Q02,พื้นผิวทางเท้า,on,1,1,1, พื้นผิวทางเท้ามีความเรียบเสมอกัน เป็นวัสดุที่ไม่ลื่น ไม่มีรอยต่อที่ทำให้เกิดการสะดุด,,-,ผ่าน,,M2: พื้นผิวของทางเท้าอยู่ในลักษณะที่พอใช้งานได้,M2,M,1,M1,พื้นผิวทางเท้าพอใช้งานเองได้,on,,M1 : พื้นผิวทางเท้าพอใช้งานเองได้,,0,0,0,0,พื้นผิวทางเท้า,ผ่าน,,,TRUE
6,R01,Q02,R01Q02,พื้นผิวทางเท้า,on,1,1,1, พื้นผิวทางเท้ามีความเรียบเสมอกัน เป็นวัสดุที่ไม่ลื่น ไม่มีรอยต่อที่ทำให้เกิดการสะดุด,,-,ผ่าน,,D3: พื้นผิวไม่เรียบเสมอกัน มีรอยสะดุด หลุมหรือเนิน หรือชำรุดเสียหายจนใช้งานได้ยาก,D3,D,1,D1,พื้นผิวไม่เรียบเสมอกัน มีรอยสะดุด หลุมหรือเนิน หรือชำรุดเสียหายจนใช้งานได้ยาก ใช้งานด้วยคนเดียวไม่ได้,on,,D1 : พื้นผิวไม่เรียบเสมอกัน มีรอยสะดุด หลุมหรือเนิน หรือชำรุดเสียหายจนใช้งานได้ยาก ใช้งานด้วยคนเดียวไม่ได้,,0,0,0,0,พื้นผิวทางเท้า,ผ่าน,,,TRUE
7,R01,Q03,R01Q03,สิ่งกีดขวางระดับพื้น,on,3,1,1,1. ทางเท้าไม่มีสิ่งกีดขวาง หรือ 2. มีสิ่งกีดขวางแต่จัดอยู่ในแนวเดียวกันไม่ขวางทางสัญจร และ 3. มีผิวสัมผัสชนิดเตือนหรือแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.,,https://drive.google.com/open?id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,"แก้คำเป็น ""1. ทางเท้าไม่มีสิ่งกีดขวาง หรือ 2. มีสิ่งกีดขวางแต่จัดอยู่ในแนวเดียวกันไม่ขวางทางสัญจร และ 3. มีผิวสัมผัสชนิดเตือนหรือแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.""",P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขที่กำหนด,on,,P1 : ผ่านตามเงื่อนไขที่กำหนด,,0,0,0,0,สิ่งกีดขวางระดับพื้น,ผ่าน,,,TRUE
8,R01,Q03,R01Q03,สิ่งกีดขวางระดับพื้น,on,3,1,1, ทางเท้าต้องไม่มีสิ่งกีดขวาง หรือจัดอยู่ในแนวเดียวกัน มีพื้นผิวต่างสัมผัสนิดเตือนหรือมีแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.,,https://drive.google.com/open?id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,M2: ไม่มีสิ่งกีดขวางในแนวทางเดิน แต่ไม่มีพื้นผิวต่างสัมผัสเตือนหรือกั้นสิ่งกีดขวางนอกแนวทางเดิน,M2,M,1,M1,มีสิ่งกีดขวางในแนวเดียวกัน โดยไม่มีพื้นผิวสัมผัสชนิดเตือน,on,,M1 : มีสิ่งกีดขวางในแนวเดียวกัน โดยไม่มีพื้นผิวสัมผัสชนิดเตือน,,0,0,0,0,สิ่งกีดขวางระดับพื้น,ไม่เข้าใจ,มีสิ่งกีดขวางในแนวเดียวกัน โดยไม่มีพื้นผิวสัมผัสชนิดเตือน,,TRUE
9,R01,Q03,R01Q03,สิ่งกีดขวางระดับพื้น,on,3,1,1, ทางเท้าต้องไม่มีสิ่งกีดขวาง หรือจัดอยู่ในแนวเดียวกัน มีพื้นผิวต่างสัมผัสนิดเตือนหรือมีแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.,,https://drive.google.com/open?id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,D3: พื้นผิวต่างสัมผัสหรือแนวกั้นสิ่งกีดขวางอยู่ห่างจากสิ่งกีดขวาง <30cm หรือติดตั้งไม่ถูกต้อง,D3,D,1,D1,พื้นผิวต่างสัมผัสชนิดเตือน หรือ แนวกั้นสิ่งกีดขวางอยู่ห่างจากสิ่งกีดขวางน้อยกว่า 30 ซม. หรือติดตั้งไม่ถูกต้อง,on,,D1 : พื้นผิวต่างสัมผัสชนิดเตือน หรือ แนวกั้นสิ่งกีดขวางอยู่ห่างจากสิ่งกีดขวางน้อยกว่า 30 ซม. หรือติดตั้งไม่ถูกต้อง,,0,0,0,0,สิ่งกีดขวางระดับพื้น,ผ่าน,"แก้คำ ""พื้นผิวต่างสัมผัสชนิดเตือน""",,TRUE
10,R01,Q03,R01Q03,สิ่งกีดขวางระดับพื้น,on,3,1,1, ทางเท้าต้องไม่มีสิ่งกีดขวาง หรือจัดอยู่ในแนวเดียวกัน มีพื้นผิวต่างสัมผัสนิดเตือนหรือมีแนวกั้นห่างจากสิ่งกีดขวางไม่น้อยกว่า 30 ซม.,,https://drive.google.com/open?id=11gCA0xR94n6SM_bW6LL2H4chvHcka8sK&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,D4: ไม่มีพื้นผิวต่างสัมผัสเตือนหรือกั้นสิ่งกีดขวาง,D4,D,2,D2,มีสิ่งกีดขวางในทางสัญจร,on,,D2 : มีสิ่งกีดขวางในทางสัญจร,,0,0,0,0,สิ่งกีดขวางระดับพื้น,ผ่าน,มีสิ่งกีดขวางในทางสัญจร,,TRUE
