fid,Name_gmap,s_id,agency,name_th,name_en,stn_mode,stn_level,province,phase1,stn_id,description,subdistrict,district,region,acc_score,x,y
5,Krabi Airport,1,Department of Airports,ท่าอากาศยานกระบี่,Krabi Airport,airport,1,กระบี่,1,KBV,,,,south,,8.0992802,98.9831948
14,Krabi bus terminal,2,,สถานีขนส่งผู้โดยสารจังหวัดกระบี่,,bus,2,กระบี่,1,B001,,,,south,,8.0998704,98.9058539
264,,3,,ท่าเทียบเรือคงคา,Kong Ka Pier,ferry,1,กระบี่,0,p001,,,,south,,,
80,Laem Sak Pier ท่าเทียบเรือแหลมสัก,4,,ท่าเทียบเรือแหลมสัก,,ferry,2,กระบี่,0,p002,,,,south,,8.2852182,98.643383
81,สะพานท่าเทียบเรืออ่าวท่าเลน,5,,ท่าเทียบเรืออ่าวท่าเลน,,ferry,2,กระบี่,0,p003,,,,south,,8.1453139,98.7482758
78,ท่าเรือ เกาะศรีบอยา กระบี่ Koh Sriboya Krabi,6,,ท่าเรือ เกาะศรีบอยา,Koh Sriboya Krabi,ferry,3,กระบี่,,p004,,,,south,,7.8940978,98.9958028
79,Koh Pu Pier,7,,ท่าเรือเกาะปู,,ferry,3,กระบี่,,p005,,,,south,,7.8490339,98.9756075
57,Koh Phi Phi Tour Pier,8,,ท่าเรือเกาะพีพีทัวร์,,ferry,2,กระบี่,0,p006,,,,south,,8.0508979,98.7986467
68,Mook Island Piers,9,,ท่าเรือเกาะมุก,,ferry,3,กระบี่,,p007,,,,south,,7.3781768,99.3104648
55,Klong Jirad Pier,10,,ท่าเรือคลองจิหราด,,ferry,2,กระบี่,1,p008,,,,south,,8.0459083,98.9058673
42,Songserm Tran Service Company Limited,11,,ท่าเรือคลองหมาก,,ferry,2,กระบี่,0,p009,,,,south,,7.6825213,99.0900667
44,Nopparat Thara Pier,12,,ท่าเรือนพรัตน์ธารา,,ferry,2,กระบี่,0,p010,,,,south,,8.0474397,98.7986249
41,Hua Hin Pier,13,,ท่าเรือบ้านหัวหิน,,ferry,2,กระบี่,0,p011,,,,south,,7.6935801,99.0989062
265,,14,,ท่าเรือศาลาด่าน,Saladan pier,ferry,2,กระบี่,0,p012,,,,south,,,
56,Chao Fah Park Pier,15,,ท่าเรือสวนเจ้าฟ้า,,ferry,2,กระบี่,0,p013,,,,south,,8.0630289,98.9193012
77,ท่าเรือน้ำลึกกระบี่,16,,ท่าเรือน้ำลึกกระบี่,,harbor,1,กระบี่,,p063,,,,south,,8.052634,98.9022
1,Chumphon Airport,17,Department of Airports,ท่าอากาศยานชุมพร,Chumphon Airport,airport,1,ชุมพร,1,CJM,,,,south,,10.7144861,99.3587278
16,สถานีขนส่งผู้โดยสารปฐมพร จังหวัดชุมพร (Chumphon Bus Station),18,,สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),,bus,2,ชุมพร,1,B002,,,,south,,10.4869959,99.1206392
99,Koh Tao (Mae Haad Pier),19,เอกชน,ท่าเรือ แม่หาด เกาะเต่า,,ferry,1,ชุมพร,0,p014,,,,south,,10.08416,99.824123
45,ท่าเรือท่ายางชุมพร-เกาะเต่า,20,,ท่าเรือท่ายาง,,ferry,2,ชุมพร,0,p015,,,,south,,10.451224,99.217065
46,ท่าเรือลมพระยา,21,เอกชน,ท่าเรือทุ่งมะขามน้อย,Thung Makam Noi pier,ferry,1,ชุมพร,1,p016,,,,south,,10.3583753,99.2662816
98,Songserm Pier,22,เอกชน,ท่าเรือส่งเสริม เกาะเต่า,,ferry,2,ชุมพร,0,p017,,,,south,,10.0831082,99.8234231
48,Chumphon Provincial Administrative Organization Pier,23,รัฐ,ท่าเรืออบจ.ชุมพร,,ferry,2,ชุมพร,0,p018,"เป็นอาคาร 2 ชั้น รูปตัวยู มีพื้นที่ใช้สอยประมาณ 2,620 ตารางเมตร มีลานจอดรถขนาด 5,000 ตารางเมตร พื้นที่เทียบเรือประมาณ 40 เมตร กำแพงท่าเรือ 108 เมตร และจะขยายเพิ่มอีก126 เมตร รวมเป็น 234 เมตร สามารถจอดเรือท่องเที่ยวขนาดใหญ่ได้พร้อมกันไม่ต่ำกว่า 10 ลำ",,,south,,10.4408341,99.218192
105,คิวรถตู้ชุมพร-ปะทิว,24,,คิวรถตู้ชุมพร-ปะทิว,,local,1,ชุมพร,0,v003,,,,south,,10.4994601,99.1726439
103,วินรถตู้ ชุมพร-ท่าแซะ,25,,วินรถตู้ ชุมพร-ท่าแซะ,,local,1,ชุมพร,0,v006,,,,south,,10.4940352,99.1791956
131,Khao Chaiyarat,26,รฟท,สถานีรถไฟเขาไชยราช,Khao Chaiyarat,train,2,ชุมพร,0,4172,ธนบุรี - สุไหงโกลก,เขาไชยราช,ปะทิว,south,,10.9583753,99.3642468
147,Khao Pip,27,รฟท,สถานีรถไฟเขาปีบ,Khao Pip,train,ที่หยุดรถ,ชุมพร,,4197,ธนบุรี - สุไหงโกลก,ทุ่งตะไคร,ทุ่งตะโก,south,,10.1351551,99.1040906
