,question,q_code,q_name
0,R01Q00 : ตำแหน่งของพื้นที่ตรวจ,R01Q00,ตำแหน่งของพื้นที่ตรวจ
1,R01Q01 : ความกว้างของทางเท้า,R01Q01,ความกว้างของทางเท้า
2,R01Q02 : พื้นผิวทางเท้า,R01Q02,พื้นผิวทางเท้า
3,R01Q03 : สิ่งกีดขวางระดับพื้น,R01Q03,สิ่งกีดขวางระดับพื้น
4,R01Q04 : สิ่งกีดขวางระดับศีรษะ,R01Q04,สิ่งกีดขวางระดับศีรษะ
6,R01Q05 : พื้นต่างระดับ,R01Q05,พื้นต่างระดับ
7,R01Q06 : ความกว้างทางลาดบนทางเท้า,R01Q06,ความกว้างทางลาดบนทางเท้า
8,R01Q07 : ความต่างระดับบนทางเท้า,R01Q07,ความต่างระดับบนทางเท้า
10,R01Q08 : พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด
11,R01Q09 : ราวกันตกและขอบกันตก,R01Q09,ราวกันตกและขอบกันตก
12,R01Q10 : ท่อ/รางระบายน้ำ,R01Q10,ท่อ/รางระบายน้ำ
9,R01Q15 : พื้นผิวทางลาดหรือทางปาดมุม,R01Q15,พื้นผิวทางลาดหรือทางปาดมุม
196,R01Q16 : ทางเท้า,R01Q16,ทางเท้า
5,R01Q16 : สะพานลอย,R01Q16,สะพานลอย
13,R02Q00 : ตำแหน่งของพื้นที่ตรวจ,R02Q00,ตำแหน่งของพื้นที่ตรวจ
14,R02Q01 : จุดข้ามถนน,R02Q01,จุดข้ามถนน
15,R02Q02 : สัญญาณไฟ (แสง),R02Q02,สัญญาณไฟ (แสง)
16,R02Q03 : สัญญาณไฟ (เสียง),R02Q03,สัญญาณไฟ (เสียง)
19,R02Q04 : จุดข้ามที่ไม่มีสัญญาณไฟ,R02Q04,จุดข้ามที่ไม่มีสัญญาณไฟ
17,R02Q05 : ความกว้างทางข้าม,R02Q05,ความกว้างทางข้าม
18,R02Q06 : ลูกระนาดก่อนถึงทางข้าม,R02Q06,ลูกระนาดก่อนถึงทางข้าม
20,R02Q07 : ความกว้างทางลาด,R02Q07,ความกว้างทางลาด
21,R02Q08 : ทางลาด,R02Q08,ทางลาด
22,R02Q09 : ระยะปลายทางลาดกับถนน,R02Q09,ระยะปลายทางลาดกับถนน
23,R02Q10 : พื้นผิวทางลาด,R02Q10,พื้นผิวทางลาด
24,R02Q11 : ระยะห่างจากอาคาร,R02Q11,ระยะห่างจากอาคาร
25,R02Q12 : พื้นผิวต่างสัมผัสชนิดเตือน,R02Q12,พื้นผิวต่างสัมผัสชนิดเตือน
26,R02Q13 : ป้ายสัญลักษณ์ของทางข้าม,R02Q13,ป้ายสัญลักษณ์ของทางข้าม
