station,rg,af_point,Q_Count,A Count,P count,M count,D count,IS1,IS2,IS3,X1,X2,X4,lv
ท่าอากาศยานกระบี่,R01,67.14,1,7,4,2,1,2,1,3,1,1,4,1
ท่าอากาศยานกระบี่,R02,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานกระบี่,R03,78.0,7,41,30,0,11,14,27,0,21,6,14,1
ท่าอากาศยานกระบี่,R04,91.0,3,15,12,3,0,3,3,9,9,3,3,1
ท่าอากาศยานกระบี่,R05,52.2,5,14,4,4,6,7,7,0,0,5,9,1
ท่าอากาศยานกระบี่,R06,78.75,14,56,39,0,17,28,28,0,14,0,42,1
ท่าอากาศยานกระบี่,R07,88.33,1,6,5,0,1,4,1,1,0,2,4,1
ท่าอากาศยานกระบี่,R08,97.75,5,20,19,1,0,5,15,0,5,0,15,1
ท่าอากาศยานกระบี่,R09,73.47,4,36,21,8,7,24,4,8,8,12,16,1
ท่าอากาศยานกระบี่,R10,0.0,1,1,0,0,1,0,1,0,1,0,0,1
ท่าอากาศยานกระบี่,R11,0.0,2,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานกระบี่,R12,41.04,2,11,6,1,4,4,2,3,3,1,5,1
ท่าอากาศยานกระบี่,R13,26.67,2,3,1,0,2,2,0,1,1,0,2,1
ท่าอากาศยานกระบี่,R15,100.0,1,4,4,0,0,4,0,0,0,0,4,1
ท่าอากาศยานกระบี่,R17,35.67,6,10,2,1,7,9,1,0,0,1,9,1
ท่าอากาศยานกระบี่,R18,83.7,3,27,19,3,5,18,6,3,0,3,24,1
ท่าอากาศยานกระบี่,R19,0.0,1,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานชุมพร,R01,77.78,1,9,6,3,0,2,3,3,2,2,4,1
ท่าอากาศยานชุมพร,R02,53.5,2,20,6,8,6,8,10,0,4,4,10,1
ท่าอากาศยานชุมพร,R03,77.29,14,89,55,14,20,33,56,0,42,19,28,1
ท่าอากาศยานชุมพร,R04,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานชุมพร,R05,45.33,5,18,2,6,10,11,7,0,0,5,13,1
ท่าอากาศยานชุมพร,R06,57.64,9,36,11,9,16,18,18,0,9,0,27,1
ท่าอากาศยานชุมพร,R07,51.67,2,12,4,0,8,8,2,2,0,4,8,1
ท่าอากาศยานชุมพร,R08,92.66,8,32,27,4,1,8,24,0,8,0,24,1
ท่าอากาศยานชุมพร,R09,79.0,5,32,30,1,1,20,4,8,8,9,15,1
ท่าอากาศยานชุมพร,R10,72.5,1,4,1,3,0,3,1,0,1,2,1,1
ท่าอากาศยานชุมพร,R11,0.0,1,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานชุมพร,R12,100.0,2,12,12,0,0,6,4,2,2,2,8,1
ท่าอากาศยานชุมพร,R13,28.75,1,4,0,1,3,2,0,2,2,0,2,1
ท่าอากาศยานชุมพร,R15,100.0,1,3,3,0,0,3,0,0,0,0,3,1
ท่าอากาศยานชุมพร,R17,30.0,4,4,0,0,4,4,0,0,0,0,4,1
ท่าอากาศยานชุมพร,R18,88.75,3,24,19,2,3,15,6,3,0,3,21,1
ท่าอากาศยานชุมพร,R19,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานตรัง,R01,75.08,2,19,13,5,1,5,6,6,4,4,9,1
ท่าอากาศยานตรัง,R02,0.0,2,4,2,0,2,0,2,0,2,0,0,1
ท่าอากาศยานตรัง,R03,83.55,6,42,30,6,6,18,24,0,18,12,12,1
ท่าอากาศยานตรัง,R04,100.0,1,1,1,0,0,0,0,1,1,0,0,1
ท่าอากาศยานตรัง,R05,45.0,3,6,0,3,3,3,3,0,0,3,3,1
ท่าอากาศยานตรัง,R06,82.5,8,32,24,0,8,16,16,0,8,0,24,1
ท่าอากาศยานตรัง,R07,82.5,2,12,9,0,3,8,2,2,0,4,8,1
ท่าอากาศยานตรัง,R08,100.0,5,20,20,0,0,5,15,0,5,0,15,1
ท่าอากาศยานตรัง,R09,56.81,4,28,16,5,7,18,3,7,7,9,12,1
ท่าอากาศยานตรัง,R10,71.25,1,4,1,3,0,3,1,0,1,2,1,1
ท่าอากาศยานตรัง,R11,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานตรัง,R12,51.67,2,6,4,2,0,2,0,2,2,0,2,1
ท่าอากาศยานตรัง,R13,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานตรัง,R15,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานตรัง,R17,30.0,3,3,0,0,3,3,0,0,0,0,3,1
ท่าอากาศยานตรัง,R18,70.0,1,9,4,2,3,6,2,1,0,1,8,1
ท่าอากาศยานตรัง,R19,0.0,1,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานนครศรีธรรมราช,R01,63.99,2,13,8,3,2,3,2,6,2,2,7,1
ท่าอากาศยานนครศรีธรรมราช,R02,0.0,3,6,3,0,3,0,3,0,3,0,0,1
ท่าอากาศยานนครศรีธรรมราช,R03,74.68,22,137,86,14,37,51,86,0,64,29,44,1
ท่าอากาศยานนครศรีธรรมราช,R04,85.0,1,3,2,1,0,0,1,2,2,1,0,1
ท่าอากาศยานนครศรีธรรมราช,R05,43.0,10,28,3,9,16,16,12,0,0,10,18,1
ท่าอากาศยานนครศรีธรรมราช,R06,80.16,8,32,22,2,8,16,16,0,8,0,24,1
ท่าอากาศยานนครศรีธรรมราช,R07,77.0,5,30,16,8,6,20,5,5,0,10,20,1
ท่าอากาศยานนครศรีธรรมราช,R08,96.54,13,52,48,4,0,13,39,0,13,0,39,1
ท่าอากาศยานนครศรีธรรมราช,R09,41.11,4,20,12,4,4,12,2,6,6,6,8,1
ท่าอากาศยานนครศรีธรรมราช,R10,0.0,1,1,0,0,1,0,1,0,1,0,0,1
ท่าอากาศยานนครศรีธรรมราช,R11,,0,0,0,0,0,0,0,0,0,0,0,1
ท่าอากาศยานนครศรีธรรมราช,R12,51.67,1,3,2,1,0,1,0,1,1,0,1,1
ท่าอากาศยานนครศรีธรรมราช,R13,28.75,1,4,0,1,3,2,0,2,2,0,2,1
ท่าอากาศยานนครศรีธรรมราช,R15,82.5,1,4,3,0,1,4,0,0,0,0,4,1
ท่าอากาศยานนครศรีธรรมราช,R17,30.0,7,7,0,0,7,7,0,0,0,0,7,1
