station,U type,an_point,lv
ท่าอากาศยานกระบี่,AA,82.5,1.0
ท่าอากาศยานกระบี่,MA,65.28,1.0
ท่าอากาศยานกระบี่,NH,0.0,1.0
ท่าอากาศยานกระบี่,NW,87.43,1.0
ท่าอากาศยานกระบี่,SF,100.0,1.0
ท่าอากาศยานกระบี่,SK,0.0,1.0
ท่าอากาศยานกระบี่,SV,100.0,1.0
ท่าอากาศยานกระบี่,TA,76.0,1.0
ท่าอากาศยานกระบี่,VA,45.95,1.0
ท่าอากาศยานกระบี่,VC,0.0,1.0
ท่าอากาศยานชุมพร,AA,51.0,1.0
ท่าอากาศยานชุมพร,MA,69.44,1.0
ท่าอากาศยานชุมพร,NH,30.0,1.0
ท่าอากาศยานชุมพร,NW,84.18,1.0
ท่าอากาศยานชุมพร,SF,79.2,1.0
ท่าอากาศยานชุมพร,SK,0.0,1.0
ท่าอากาศยานชุมพร,SV,100.0,1.0
ท่าอากาศยานชุมพร,TA,83.57,1.0
ท่าอากาศยานชุมพร,VA,46.83,1.0
ท่าอากาศยานชุมพร,VC,0.0,1.0
ท่าอากาศยานตรัง,AA,65.0,1.0
ท่าอากาศยานตรัง,MA,60.74,1.0
ท่าอากาศยานตรัง,NH,0.0,1.0
ท่าอากาศยานตรัง,NW,89.12,1.0
ท่าอากาศยานตรัง,SF,100.0,1.0
ท่าอากาศยานตรัง,SK,0.0,1.0
ท่าอากาศยานตรัง,SV,0.0,1.0
ท่าอากาศยานตรัง,TA,87.5,1.0
ท่าอากาศยานตรัง,VA,41.3,1.0
ท่าอากาศยานตรัง,VC,0.0,1.0
ท่าอากาศยานนครศรีธรรมราช,AA,53.33,1.0
ท่าอากาศยานนครศรีธรรมราช,MA,64.9,1.0
ท่าอากาศยานนครศรีธรรมราช,NH,0.0,1.0
ท่าอากาศยานนครศรีธรรมราช,NW,81.68,1.0
ท่าอากาศยานนครศรีธรรมราช,SF,92.0,1.0
ท่าอากาศยานนครศรีธรรมราช,SK,0.0,1.0
ท่าอากาศยานนครศรีธรรมราช,SV,82.5,1.0
ท่าอากาศยานนครศรีธรรมราช,TA,92.78,1.0
ท่าอากาศยานนครศรีธรรมราช,VA,36.3,1.0
ท่าอากาศยานนครศรีธรรมราช,VC,0.0,1.0
ท่าอากาศยานนราธิวาส,AA,35.71,1.0
ท่าอากาศยานนราธิวาส,MA,53.33,1.0
ท่าอากาศยานนราธิวาส,NH,30.0,1.0
ท่าอากาศยานนราธิวาส,NW,87.44,1.0
ท่าอากาศยานนราธิวาส,SF,95.0,1.0
ท่าอากาศยานนราธิวาส,SK,0.0,1.0
ท่าอากาศยานนราธิวาส,SV,30.0,1.0
ท่าอากาศยานนราธิวาส,TA,85.71,1.0
ท่าอากาศยานนราธิวาส,VA,41.79,1.0
ท่าอากาศยานนราธิวาส,VC,0.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,AA,30.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,MA,68.81,1.0
ท่าอากาศยานนานาชาติภูเก็ต,NH,30.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,NW,89.67,1.0
ท่าอากาศยานนานาชาติภูเก็ต,SF,95.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,SK,0.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,SV,82.5,1.0
ท่าอากาศยานนานาชาติภูเก็ต,TA,80.0,1.0
ท่าอากาศยานนานาชาติภูเก็ต,VA,52.97,1.0
ท่าอากาศยานนานาชาติภูเก็ต,VC,0.0,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,AA,30.0,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,MA,81.01,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,NH,30.0,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,NW,85.95,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,SF,85.45,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,SK,0.0,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,SV,100.0,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,TA,93.75,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,VA,46.23,1.0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,VC,0.0,1.0
ท่าอากาศยานหาดใหญ่,AA,45.71,1.0
ท่าอากาศยานหาดใหญ่,MA,88.49,1.0
ท่าอากาศยานหาดใหญ่,NH,30.0,1.0
ท่าอากาศยานหาดใหญ่,NW,89.58,1.0
ท่าอากาศยานหาดใหญ่,SF,87.74,1.0
ท่าอากาศยานหาดใหญ่,SK,0.0,1.0
ท่าอากาศยานหาดใหญ่,SV,100.0,1.0
ท่าอากาศยานหาดใหญ่,TA,94.71,1.0
ท่าอากาศยานหาดใหญ่,VA,56.8,1.0
ท่าอากาศยานหาดใหญ่,VC,0.0,1.0
ท่าอากาศยานเบตง,AA,30.0,1.0
ท่าอากาศยานเบตง,MA,75.87,1.0
ท่าอากาศยานเบตง,NH,30.0,1.0
ท่าอากาศยานเบตง,NW,90.68,1.0
ท่าอากาศยานเบตง,SF,85.6,1.0
ท่าอากาศยานเบตง,SK,0.0,1.0
ท่าอากาศยานเบตง,SV,30.0,1.0
ท่าอากาศยานเบตง,TA,73.33,1.0
ท่าอากาศยานเบตง,VA,59.35,1.0
ท่าอากาศยานเบตง,VC,0.0,1.0
ท่าเทียบเรือปากเมง,AA,30.0,1.0
ท่าเทียบเรือปากเมง,MA,58.75,1.0
ท่าเทียบเรือปากเมง,NH,30.0,1.0
ท่าเทียบเรือปากเมง,NW,75.0,1.0
ท่าเทียบเรือปากเมง,SF,94.29,1.0
ท่าเทียบเรือปากเมง,SK,0.0,1.0
ท่าเทียบเรือปากเมง,SV,0.0,1.0
ท่าเทียบเรือปากเมง,TA,77.14,1.0
ท่าเทียบเรือปากเมง,VA,41.67,1.0
ท่าเทียบเรือปากเมง,VC,0.0,1.0
ท่าเทียบเรือศุลกากร ระนอง,AA,30.0,1.0
ท่าเทียบเรือศุลกากร ระนอง,MA,49.41,1.0
ท่าเทียบเรือศุลกากร ระนอง,NH,0.0,1.0
ท่าเทียบเรือศุลกากร ระนอง,NW,65.11,1.0
ท่าเทียบเรือศุลกากร ระนอง,SF,80.8,1.0
ท่าเทียบเรือศุลกากร ระนอง,SK,0.0,1.0
ท่าเทียบเรือศุลกากร ระนอง,SV,65.0,1.0
ท่าเทียบเรือศุลกากร ระนอง,TA,77.33,1.0
ท่าเทียบเรือศุลกากร ระนอง,VA,34.38,1.0
ท่าเทียบเรือศุลกากร ระนอง,VC,0.0,1.0
ท่าเทียบเรือหลักเมือง,AA,0,1.0
ท่าเทียบเรือหลักเมือง,MA,57.14,1.0
ท่าเทียบเรือหลักเมือง,NH,0,1.0
ท่าเทียบเรือหลักเมือง,NW,64.17,1.0
ท่าเทียบเรือหลักเมือง,SF,88.57,1.0
ท่าเทียบเรือหลักเมือง,SK,0.0,1.0
ท่าเทียบเรือหลักเมือง,SV,0,1.0
ท่าเทียบเรือหลักเมือง,TA,66.67,1.0
ท่าเทียบเรือหลักเมือง,VA,30.0,1.0
ท่าเทียบเรือหลักเมือง,VC,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),AA,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),MA,84.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),NH,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),NW,65.5,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),SF,20.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),SK,0.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),SV,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),TA,30.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),VA,70.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),VC,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),AA,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),MA,30.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),NH,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),NW,30.5,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),SF,20.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),SK,0.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),SV,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),TA,70.0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),VA,0,1.0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),VC,0,1.0
ท่าเรือคงคา,AA,30.0,1.0
ท่าเรือคงคา,MA,48.57,1.0
ท่าเรือคงคา,NH,0.0,1.0
ท่าเรือคงคา,NW,59.69,1.0
ท่าเรือคงคา,SF,86.67,1.0
ท่าเรือคงคา,SK,0.0,1.0
ท่าเรือคงคา,SV,47.5,1.0
ท่าเรือคงคา,TA,85.0,1.0
ท่าเรือคงคา,VA,30.0,1.0
ท่าเรือคงคา,VC,0.0,1.0
ท่าเรือทุ่งมะขามน้อย,AA,53.33,1.0
ท่าเรือทุ่งมะขามน้อย,MA,48.0,1.0
ท่าเรือทุ่งมะขามน้อย,NH,0.0,1.0
ท่าเรือทุ่งมะขามน้อย,NW,70.82,1.0
ท่าเรือทุ่งมะขามน้อย,SF,100.0,1.0
ท่าเรือทุ่งมะขามน้อย,SK,0.0,1.0
ท่าเรือทุ่งมะขามน้อย,SV,47.5,1.0
ท่าเรือทุ่งมะขามน้อย,TA,85.71,1.0
ท่าเรือทุ่งมะขามน้อย,VA,47.5,1.0
ท่าเรือทุ่งมะขามน้อย,VC,0.0,1.0
ท่าเรือปากบารา,AA,35.71,1.0
