Station Name,Station Type,Province,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI,Level,All item checked,Facilites checked,Area checked,P items,M items,D items,IS1 items,IS2 items,IS3 items,X1 items,X2 items,X4 items
ท่าอากาศยานกระบี่,airport,กระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",0.3,0.34,0.28,3.12,56.16,56.8125,55.5,1,251,16,58,166,23,62,124,96,28,151,34,63
ท่าอากาศยานชุมพร,airport,ชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",0.4,0.66,0.21,3.23,58.73,63.266666666666666,54.2,1,299,15,59,176,51,72,141,135,20,168,50,78
ท่าอากาศยานตรัง,airport,ตรัง,7.512011,99.61547,"7.512011,99.61547",0.3,0.52,0.0,3.06,52.28,60.357142857142854,44.2,1,186,14,41,124,26,36,87,74,19,97,35,48
ท่าอากาศยานนครศรีธรรมราช,airport,นครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",0.0,0.08,0.0,3.24,50.78,51.5625,50.0,1,364,16,83,219,50,95,160,173,25,195,61,102
ท่าอากาศยานนราธิวาส,airport,นราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",0.1,0.2,0.0,3.16,49.82,53.9375,45.7,1,164,16,42,85,34,45,80,72,7,95,25,39
ท่าอากาศยานนานาชาติภูเก็ต,airport,ภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",0.4,0.77,0.13,3.22,58.98,65.35714285714286,52.6,1,322,14,81,181,56,85,165,125,26,183,69,64
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,airport,สุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",0.3,0.42,0.25,3.1,56.69,58.375,55.0,1,537,16,103,355,72,110,254,207,64,271,109,145
ท่าอากาศยานหาดใหญ่,airport,สงขลา,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",0.7,0.99,0.44,3.16,64.32,69.75,58.9,1,419,16,80,303,58,58,214,158,40,231,99,82
ท่าอากาศยานเบตง,airport,ยะลา,5.7859551,101.1475264,"5.7859551,101.1475264",0.3,0.53,0.0,3.12,53.93,60.5625,47.3,1,296,16,68,203,37,56,142,124,25,186,48,57
ท่าเทียบเรือปากเมง,ferry,ตรัง,7.507745,99.31208000000001,"7.507745,99.31208000000001",0.0,0.0,0.0,2.83,45.0,49.5,40.5,1,85,12,20,50,12,23,31,28,19,44,12,22
ท่าเทียบเรือศุลกากร ระนอง,ferry,ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",0.0,0.0,0.0,3.06,38.88,37.76470588235294,40.0,1,181,17,42,85,27,69,73,73,27,100,30,43
ท่าเทียบเรือหลักเมือง,ferry,ปัตตานี,6.8690239,101.2529468,"6.8690239,101.2529468",0.0,0.02,0.0,2.9,40.75,50.5,31.0,1,40,10,12,23,6,11,14,9,13,20,7,9
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),ferry,สงขลา,7.2180985,100.57996240000001,"7.2180985,100.57996240000001",0.0,0.0,0.0,2.61,38.2,49.5,26.9,1,21,6,7,12,3,6,8,3,7,9,4,5
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),ferry,สงขลา,7.2209686,100.5748434,"7.2209686,100.5748434",0.0,0.0,0.0,2.81,13.9,12.8,15.0,1,18,5,6,4,3,11,5,3,7,9,2,4
ท่าเรือคงคา,ferry,กระบี่,8.061873,98.919443,"8.061873,98.919443",0.0,0.04,0.0,3.12,44.67,50.833333333333336,38.5,1,64,12,16,29,7,28,25,23,11,33,10,16
ท่าเรือทุ่งมะขามน้อย,ferry,ชุมพร,10.3583753,99.2662816,"10.3583753,99.2662816",0.0,0.02,0.0,3.27,47.71,50.42857142857143,45.0,1,123,14,30,62,15,46,56,48,15,67,19,33
ท่าเรือปากบารา,ferry,สตูล,6.8603952,99.7216042,"6.8603952,99.7216042",0.3,0.57,0.0,3.18,48.92,61.333333333333336,36.5,1,188,9,40,97,17,74,95,80,13,101,44,43
ท่าเรือรัษฎา,ferry,ภูเก็ต,7.8712791,98.4143437,"7.8712791,98.4143437",0.0,0.0,0.0,3.23,44.13,49.266666666666666,39.0,1,242,15,53,121,27,94,115,98,26,133,43,63
ท่าเรือสวนเจ้าฟ้า,ferry,กระบี่,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",0.2,0.41,0.0,3.23,48.3,58.3,38.3,1,69,10,15,36,2,31,33,19,14,38,11,17
ท่าเรือสุระกุล,ferry,พังงา,8.390053446,98.46033096,"8.390053446,98.46033096",0.0,0.0,0.0,3.25,40.2,36.5,43.9,1,87,12,21,48,6,33,38,42,5,43,15,27
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,bus,กระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",0.1,0.24,0.0,3.15,50.38,54.857142857142854,45.9,1,240,14,45,141,40,59,95,112,22,117,40,72
สถานีขนส่งผู้โดยสารจังหวัดตรัง,bus,ตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",0.1,0.26,0.0,2.93,49.35,55.2,43.5,1,121,15,32,61,25,35,53,36,22,68,22,21
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,bus,นครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",0.0,0.0,0.0,3.22,42.82,44.142857142857146,41.5,1,144,14,37,60,22,62,74,51,15,91,21,28
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,bus,นราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",0.2,0.5,0.0,3.0,52.38,60.0625,44.7,1,165,16,37,113,24,28,66,60,29,85,27,43
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,bus,ปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",0.3,0.64,0.0,3.03,52.68,62.75,42.6,1,220,16,46,139,31,50,92,78,39,111,39,59
