station,level,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R15,R17,R18,R19,AA,MA,NH,NW,SF,SK,SV,TA,VA,VC
ท่าอากาศยานกระบี่,1,67.14,,78.0,91.0,52.2,78.75,88.33,97.75,73.47,0.0,0.0,41.04,26.67,100.0,35.67,83.7,0.0,82.5,65.28,0,87.43,100.0,0.0,100.0,76.0,45.95,0
ท่าอากาศยานชุมพร,1,77.78,53.5,77.29,,45.33,57.64,51.67,92.66,79.0,72.5,0.0,100.0,28.75,100.0,30.0,88.75,,51.0,69.44,30.0,84.18,79.2,0.0,100.0,83.57,46.83,0
ท่าอากาศยานตรัง,1,75.08,0.0,83.55,100.0,45.0,82.5,82.5,100.0,56.81,71.25,,51.67,,,30.0,70.0,0.0,65.0,60.74,0,89.12,100.0,0.0,0.0,87.5,41.3,0
ท่าอากาศยานนครศรีธรรมราช,1,63.99,0.0,74.68,85.0,43.0,80.16,77.0,96.54,41.11,0.0,,51.67,28.75,82.5,30.0,75.83,0.0,53.33,64.9,0,81.68,92.0,0.0,82.5,92.78,36.3,0
ท่าอากาศยานนราธิวาส,1,0.0,44.29,86.53,100.0,42.14,80.62,47.5,93.5,68.89,72.5,66.67,28.33,,30.0,30.0,77.78,0.0,35.71,53.33,30.0,88.66,95.0,0.0,30.0,85.71,41.79,0
ท่าอากาศยานนานาชาติภูเก็ต,1,87.86,36.83,79.72,100.0,51.78,76.88,80.0,100.0,58.33,88.75,30.0,0.0,,82.5,48.38,,,30.0,68.81,30.0,89.67,95.0,0.0,82.5,80.0,52.97,0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,1,77.26,53.38,73.97,87.25,56.78,78.46,72.08,100.0,86.7,61.25,0.0,61.74,0.0,100.0,30.0,,0.0,30.0,81.01,30.0,85.95,85.45,0.0,100.0,93.75,46.23,0
ท่าอากาศยานหาดใหญ่,1,75.25,49.76,83.4,100.0,50.78,81.41,87.11,93.56,100.0,100.0,0.0,43.54,,100.0,55.33,100.0,0.0,45.71,88.49,30.0,89.58,87.74,0.0,100.0,94.71,56.8,0
ท่าอากาศยานเบตง,1,90.0,53.57,87.22,100.0,46.8,83.27,65.0,73.93,95.56,80.0,0.0,40.0,0.0,30.0,35.0,92.38,,30.0,75.87,30.0,91.35,85.6,0.0,30.0,73.33,59.35,0
ท่าเทียบเรือปากเมง,1,74.05,21.79,71.67,100.0,40.0,,,100.0,61.11,0.0,,69.29,28.75,,30.0,,0.0,30.0,58.75,30.0,75.0,94.29,0.0,0.0,77.14,41.67,0
ท่าเทียบเรือศุลกากร ระนอง,1,69.06,0.0,59.83,83.0,45.0,50.0,60.56,79.82,0.0,0.0,0.0,55.62,0.0,65.0,30.0,47.5,0.0,30.0,49.41,0,65.11,80.8,0.0,65.0,77.33,34.38,0
ท่าเทียบเรือหลักเมือง,1,58.57,0.0,0.0,100.0,,,74.0,,0.0,100.0,,73.12,,,,100.0,0.0,0.0,57.14,0,69.72,88.57,0.0,0.0,66.67,30.0,0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),1,21.79,0.0,,100.0,,,100.0,,76.67,,,,,,,,0.0,0.0,84.0,0,65.5,20.0,0.0,0.0,30.0,70.0,0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),1,34.64,0.0,,,,,,,0.0,,,,,,30.0,,0.0,0.0,30.0,0,30.5,20.0,0.0,0.0,70.0,0.0,0
ท่าเรือคงคา,1,68.5,0.0,60.0,,42.5,,65.0,57.5,0.0,100.0,,41.88,,47.5,30.0,100.0,,30.0,48.57,0,59.69,86.67,0.0,47.5,85.0,30.0,0
ท่าเรือทุ่งมะขามน้อย,1,70.21,,60.83,,42.5,71.25,,82.5,58.89,0.0,0.0,73.12,82.5,47.5,30.0,91.25,0.0,53.33,48.0,0,70.82,100.0,0.0,47.5,85.71,47.5,0
ท่าเรือปากบารา,1,,,63.98,100.0,43.75,82.5,74.86,77.5,0.0,,,,40.0,,,73.33,,35.71,61.43,0,72.71,87.5,0.0,0.0,76.67,34.4,0
ท่าเรือรัษฎา,1,74.0,,59.89,,41.67,66.41,65.71,78.93,75.56,0.0,0.0,60.62,44.06,47.5,30.0,100.0,0.0,30.0,58.37,0,71.32,82.5,0.0,47.5,66.0,36.67,0
ท่าเรือสวนเจ้าฟ้า,1,68.57,,60.63,,,,65.0,,0.0,100.0,,73.12,40.0,47.5,30.0,100.0,,0.0,44.0,0,68.28,90.0,0.0,47.5,90.0,44.0,0
ท่าเรือสุระกุล,1,0.0,,69.13,,45.0,,,80.62,0.0,0.0,,64.38,33.33,47.5,30.0,70.0,0.0,70.0,53.33,0,70.0,86.67,0.0,47.5,83.33,30.0,0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,1,73.62,21.79,81.39,,41.0,82.5,,85.0,82.22,82.5,,60.62,15.0,30.0,41.33,75.0,0.0,35.71,58.57,30.0,81.15,94.29,0.0,30.0,82.5,49.39,0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,1,53.12,0.0,,100.0,53.54,82.5,75.83,74.38,91.11,0.0,47.5,76.65,,47.5,30.0,100.0,0.0,30.0,62.5,0,72.24,84.0,0.0,47.5,67.78,73.33,0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,1,0.0,,47.29,,40.83,40.0,95.0,73.5,24.07,0.0,75.0,61.94,32.5,47.5,30.0,54.64,,41.43,69.58,0,56.35,95.0,0.0,47.5,66.0,41.67,0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,1,79.67,0.0,84.83,100.0,41.25,,100.0,100.0,78.89,0.0,75.0,81.88,46.25,47.5,30.0,100.0,0.0,30.0,62.14,0,89.89,97.33,0.0,47.5,80.77,42.86,0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,1,69.2,0.0,83.1,100.0,41.67,,59.33,83.33,77.22,90.0,75.0,81.88,51.88,65.0,30.0,100.0,0.0,30.0,53.08,0,87.34,94.0,0.0,65.0,53.57,44.74,0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,1,85.5,,76.35,100.0,45.56,55.62,79.83,100.0,72.22,80.0,0.0,67.29,25.0,30.0,30.0,75.0,0.0,56.67,68.1,0,77.57,86.67,0.0,30.0,91.25,41.56,0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,1,54.95,0.0,74.5,100.0,53.33,,100.0,94.17,74.17,31.25,82.5,72.5,46.25,47.5,30.0,100.0,0.0,30.0,68.12,0,73.78,100.0,0.0,47.5,67.0,60.77,0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,1,78.5,,69.33,,41.0,66.46,91.67,97.08,76.67,0.0,75.0,56.88,46.25,100.0,67.5,100.0,0.0,30.0,81.85,0,79.86,100.0,0.0,100.0,69.09,46.0,0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,1,,0.0,69.29,,40.0,82.5,,85.62,91.11,82.5,0.0,65.0,28.75,47.5,30.0,75.0,0.0,50.0,63.33,0,76.33,100.0,0.0,47.5,86.0,38.18,0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,1,,,66.61,,43.33,65.0,63.33,87.5,68.89,90.0,65.0,69.38,32.5,65.0,54.67,100.0,0.0,30.0,67.89,0,70.62,68.89,0.0,65.0,80.0,56.0,0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),1,69.2,,80.31,,40.0,,,73.75,91.11,0.0,0.0,60.0,40.0,47.5,30.0,70.0,,40.0,62.22,0,75.0,92.0,0.0,47.5,61.25,60.83,0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,1,64.23,0.0,82.78,100.0,41.25,82.5,47.5,78.75,82.22,50.0,0.0,45.83,27.5,30.0,30.0,100.0,0.0,30.0,50.67,0,81.74,92.73,0.0,30.0,57.27,34.38,0
สถานีขนส่งสตูล,1,75.44,0.0,91.25,100.0,40.0,75.0,51.67,96.25,91.11,0.0,,81.88,46.25,47.5,30.0,100.0,,30.0,63.33,0,80.38,85.45,0.0,47.5,87.14,58.0,0
สถานีขนส่งหาดใหญ่,1,37.14,,62.78,100.0,42.0,,100.0,47.92,91.11,0.0,57.5,65.21,37.75,53.33,33.5,100.0,0.0,30.0,72.22,0,59.91,100.0,0.0,53.33,48.75,43.16,0
สถานีรถไฟชุมทางทุ่งสง,1,,0.0,79.17,,43.33,76.88,65.0,84.58,69.38,72.5,57.5,69.88,58.75,65.0,51.0,61.25,0.0,50.0,63.68,0,74.22,96.67,0.0,65.0,71.67,56.67,0
สถานีรถไฟชุมทางหาดใหญ่,1,,19.64,61.35,100.0,43.33,,88.33,91.25,86.67,100.0,0.0,64.06,,47.5,30.0,66.67,0.0,43.33,69.58,30.0,74.49,86.5,0.0,47.5,82.22,49.33,0
สถานีรถไฟชุมพร,1,62.63,22.38,85.0,100.0,66.67,42.5,71.67,53.75,0.0,36.25,75.0,70.83,20.0,47.5,30.0,71.43,,44.0,58.0,30.0,58.91,88.33,0.0,47.5,68.67,48.33,0
สถานีรถไฟตรัง,1,46.07,0.0,90.94,,53.33,65.0,80.0,85.83,67.78,82.5,75.0,73.12,50.0,47.5,30.0,100.0,0.0,30.0,75.33,0,74.34,85.0,0.0,47.5,81.11,62.73,0
สถานีรถไฟปัตตานี (โคกโพธิ์),1,24.33,0.0,65.0,100.0,40.0,70.0,60.0,87.92,65.62,0.0,75.0,68.75,32.5,92.5,30.0,100.0,0.0,30.0,57.5,0,72.86,100.0,0.0,92.5,54.44,65.45,0
สถานีรถไฟพัทลุง,1,77.14,17.92,79.58,100.0,73.67,,100.0,88.33,71.11,100.0,82.5,71.25,,65.0,30.0,100.0,0.0,30.0,80.0,30.0,79.48,95.56,0.0,65.0,75.0,77.0,0
